ID,Name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug
1,Afghanistan,0,1,174,2171,15205,31517,0,0
2,Armenia,0,0,532,2066,9282,25542,0,0
3,Azerbaijan,0,0,298,1804,5494,17524,0,0
4,Bahrain,0,41,567,3040,11398,26758,0,0
5,Bangladesh,0,0,51,7667,47153,145483,0,0
6,Bhutan,0,0,4,7,43,77,0,0
7,Brunei,0,0,129,138,141,141,0,0
8,Bulgaria,0,0,399,1506,2513,4989,0,0
9,Burma,0,0,15,151,224,299,0,0
10,Cambodia,1,1,109,122,125,141,0,0
11,China,9802,79356,82279,83956,84146,84785,0,0
12,Cyprus,0,0,262,850,944,998,0,0
13,Georgia,0,1,110,539,783,928,0,0
14,Greece,0,4,1314,2591,2917,3409,0,0
15,India,1,3,1397,34863,190609,585481,0,0
16,Indonesia,0,0,1528,10118,26473,56385,0,0
17,Iran,0,593,44605,94640,151466,227662,0,0
18,Iraq,0,13,694,2085,6439,49109,0,0
19,Israel,0,7,5358,15946,17071,25244,0,0
20,Japan,15,241,1953,14088,16751,18615,0,0
21,Jordan,0,0,274,453,739,1132,0,0
22,Kazakhstan,0,0,343,3402,10858,22308,0,0
23,Kuwait,0,45,289,4024,27043,46195,0,0
24,Kyrgyzstan,0,0,107,746,1748,5506,0,0
25,Laos,0,0,9,19,19,19,0,0
26,Lebanon,0,4,470,725,1220,1778,0,0
27,Malaysia,8,25,2766,6002,7819,8639,0,0
28,Maldives,0,0,18,468,1773,2361,0,0
29,Mongolia,0,0,12,38,179,220,0,0
30,Nepal,1,1,5,57,1572,13564,0,0
31,North Korea ,0,0,0,0,0,0,0,0
32,Oman,0,6,192,2348,11437,40070,0,0
33,Pakistan,0,4,2118,18114,72460,213470,0,0
34,Papua New Guinea,0,0,1,8,8,11,0,0
35,Philippines,1,3,2084,8488,18086,37514,0,0
36,Qatar,0,1,781,13409,56910,96088,0,0
37,Russia,2,2,2337,106498,405843,646929,0,0
38,Saudi Arabia,0,0,1563,22753,85261,190823,0,0
39,Singapore,13,102,926,16169,34884,43907,0,0
40,South Korea,11,3150,9786,10774,11503,12850,0,0
41,Sri Lanka,1,1,143,663,1633,2047,0,0
42,Syria,0,0,10,43,122,279,0,0
43,Tajikistan,0,0,0,15,3930,5900,0,0
44,Thailand,19,42,1651,2954,3081,3171,0,0
45,Turkey,0,0,13531,120204,163942,199906,0,0
46,Turkmenistan,0,0,0,0,0,0,0,0
47,United Arab Emirates,4,21,664,12481,34557,48667,0,0
48,Uzbekistan,0,0,172,2039,3623,8503,0,0
49,Vietnam,2,16,212,270,328,355,0,0
50,West Bank and Gaza,0,0,119,344,448,2428,0,0
51,Yemen,0,0,0,6,323,1158,0,0
